paper_id,assigned_agent
2925944073748712909,11
4234497457583451490,12
5576374471582489225,13
paper:6427452585837748321,14
7753146987695993383,15
7104990380593106313,16
5946644984979628264,17
8895478840153220158,18
383161011009935380,19
6144930733231488299,20
1717422807473497529,21
7826101640011028045,22
3561543537752091502,23
2568641441340247093,1
paper:3110698694674840840,2
2464513511920957643,3
133845730086117543,4
129058456457832974,5
1124611220805808414,6
7830425947721099862,7
5303797641075512772,8
3962880500727714015,9
6719194446626649008,10
6723986118301446421,11
5565637424153083739,12
7709841735999867532,13
4728202597294487877,14
paper:4875285405212043463,15
5526233672338390587,16
paper:7360457661731352124,17
7207923511884259225,18
7461971067001145105,19
1380501885443651381,20
4528112332584191501,21
4458421285252954194,22
3927084490089515791,23
3930903093973535694,1
3278963067358731473,2
2624189599278595180,3
5599220673099751300,4
4273333867653501783,5
8130442750273990293,6
2027888234226457172,7
5259393553901753654,8
5377938612166049515,9
5377945209235818781,10
5372156280514423216,11
4725001328504647142,12
4667870666384874527,13
5062952786161653227,14
5066739504208455011,15
3725856448721130795,16
2286403950000528416,17
4779211215264620461,18
8985611711543224540,19
8986462733543270629,20
1127395604226589344,21
9170316564187057123,22
3597251663767946375,23
2959649268782175219,1
4956296452326464614,2
4950676848395813543,3
2462544706573928545,4
796185357657178280,5
132691662855403571,6
9131678562363315812,7
6006086962067327088,8
8007133281895495179,9
3707839407077832969,10
3712635476799143226,11
3051124201462654500,12
paper:3050276477997493044,13
1377215500411763354,14
7623587238119635591,15
8421602920000743347,16
874298919737928684,17
3626768946003044836,18
6750532058461697117,19
6772537711166709981,20
5753313995526266547,21
6920404906628831865,22
7562786878661490113,23
671065587036985814,1
paper:4686205739969386764,2
6332740856304183869,3
1976114020174090690,4
5094079407818321718,5
636052299872850866,6
2459006564934391472,7
8751131218435579596,8
paper:4585500459150518967,9
4584501003080664393,10
7713895814097878066,11
6578325740275903826,12
4056814804399050150,13
paper:6514265074241762393,14
paper:4105512212332147420,15
1607796727160667596,16
3454566144229056718,17
1524604266271238693,18
8801856114863787030,19
paper:4043137942536385196,20
1517847985194127213,21
8895586400492266637,22
324986720554661552,23
3198982608089935996,1
6320764400594930505,2
6253280644912656904,3
6255257566819801832,4
6788545995122936310,5
7439499759807424489,6
3664798275827078983,7
262625738849836935,8
5660911133442244532,9
6849930704453497859,10
7496112588672496423,11
1438314613006388708,12
5203430554613882966,13
98380436054021360,14
3217357374396017283,15
6726469729700416742,16
2938501511434376375,17
6332737172220169799,18
5154243226023698900,19
3183297137730665025,20
9114711811322698175,21
6842159854026318521,22
88638379154758689,23
8653443632812827154,1
3236210343388311424,2
paper:8062588993766793075,3
paper:5136772124119058400,4
3071927567162765600,5
3473245935738698677,6
paper:865580360297157854,7
2141593291315246026,8
paper:8242319319525442704,9
210817887333303671,10
7444154104062898252,11
145638763374542861,12
95093076394801350,13
6514500389191054587,14
6345351641851707702,15
paper:775111386804903338,16
8858972700162953582,17
3421880886366022081,18
paper:8214799405811397525,19
4749382885340667577,20
8931423357914058346,21
1353556194998635161,22
5361251992373033339,23
2575268719407960742,1
2044953370546941133,2
1609432237952857484,3
6097087912720214263,4
4110873995013937572,5
6657053851872486137,6
2416285920637702931,7
2422072650335842074,8
3559891480036047374,9
8133382124311375445,10
2680903962669207350,11
1603180777143809516,12
9140625419916350917,13
5317367265491319149,14
5965507379919783054,15
1506467839641839636,16
3378991819259775622,17
3348612275049078337,18
1391943372227876007,19
7449242363637890492,20
8294734947876040588,21
2875644376381866859,22
952767900657476003,23
3444725243433150170,1
paper:8249944997338860242,2
388580932880063643,3
15514361412951706,4
3921747553788550555,5
3918778872392948530,6
paper:9066399753394176765,7
2367642828341044626,8
4264930226721549444,9
paper:8034704799096827584,10
2923051013699255287,11
5787963904249942165,12
4694497721726926418,13
2223674091952932932,14
paper:2175269809517540344,15
2169497373470567944,16
4923985030555422916,17
6239267019367308728,18
4382906780244847843,19
6384337938882537174,20
1947274157565656853,21
1954043850659227405,22
3791063898122161840,23
